Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,Long,Lat
Wood,Moses,null,M,null,null,null,null,1857,Georgetown,null,DC,null,null,null,null,General Briscoe,null,-77.0628,38.90502
Taylor,James,null,M,20,M,null,null,1859,Fredericksburg,Spotsylvania,VA,null,null,null,null,George Ailer,null,-77.45933,38.30118
Forman,Isaac,null,M,50,B,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,George Brown,null,-76.28514,36.84686
Wilkins,James Andy,null,M,null,null,null,null,1859,Cecil,Cecil,MD,null,null,null,null,George Biddle,null,-80.18365,40.33017
Nickless,Kit,null,M,45,null,21,Dec,1854,King Georges,King George,VA,null,null,null,Foot,General Washington,null,-77.18406,38.26833
Haley,Elizabeth,Sarah Richardson,F,21,null,26,Apr,1854,Havre de Grace,Harford,MD,null,null,null,null,George C. Davis,null,-76.09566,39.54867
Bennett,George,null,M,1,null,1,Jun,1855,Aldie P.O.,Loudon,VA,X,null,null,null,George Carter,null,-77.6513,38.97842
Haley,Harriet,Ann Richardson,F,19,null,26,Apr,1854,Havre de Grace,Harford,MD,null,null,null,null,George C. Davis,null,-76.09566,39.54867
Bennett,null,null,F,1 mos,null,1,Jun,1855,Aldie P.O.,Loudon,VA,X,null,null,null,George Carter,null,-77.6513,38.97842
Bennett,Martha,Martha Washington,F,27,null,1,Jun,1855,Leesburg,Loudon,VA,null,null,null,null,George Carter,1200,-77.56578,39.1158
Green,George,null,M,23,B,29,Jun,1855,Baltimore,Baltimore,MD,null,null,null,null,George Chambers,null,-76.60926,39.29058
Green,Richard,William Smith,M,25,B,29,Jun,1855,Baltimore,Baltimore,MD,null,null,null,null,George Chambers,null,-76.60926,39.29058
Clagart,John,null,M,22,M,null,null,1857,Fairfax,Fairfax,VA,null,null,null,null,George Coleman,null,-77.30905,38.84185
Dunagan,Sarah,Anna Elizabeth Kingslow,F,18,M,30,Jan,1855,Wilmington,New Castle,DE,null,null,null,null,George Churchman,null,-75.55084,39.74023
Wilkins,Charles,null,M,3,null,null,null,1859,Cecil,Cecil,MD,X,null,null,null,George Ford,null,-80.18365,40.33017
Wilkins,Lucinda,null,F,21,B,null,null,1859,Cecil,Cecil,MD,null,null,null,null,George Ford,null,-80.18365,40.33017
Robinson,Joseph,null,M,30,B,1,Mar,1855,Richmond,Henrico,VA,null,X,null,Schooner,George E. Sadler,null,-77.43367,37.54068
Alexander,John,null,M,44,B,null,null,1857,null,Kent,null,null,null,null,null,George Handy,null,0,0
Skinner,Thomas Edward,null,M,18,M,11,Apr,1858,Baltimore,Baltimore,MD,null,null,null,null,George H. Carman,null,-76.60926,39.29058
Alligood,George,null,M,22,null,null,null,1858,null,Sussex,DE,null,null,X,null,George M. Davis,null,0,0
Smith,John,null,M,20,B,null,null,1857,Hoopesville,Dorchester,MD,null,null,null,null,George Morgan,null,-76.18293,38.26493
Hooper,Miles,null,M,23,null,null,Aug,1855,Federal Mills,null,NC,null,null,null,null,George Montigue,null,-85.00549,32.98596
Dorsey,Maria,null,F,40,B,null,Sept,1856,Washington,null,DC,null,null,null,null,George Parker,200,-77.03196,38.89037
Brown,Albert,null,M,null,M,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,Horseback,George Shaffer,null,-77.71758,39.6425
Neall,Daniel,null,M,23,M,null,Sept,1856,Washington,null,DC,null,null,null,Foot,George Parker,200,-77.03196,38.89037
Fowler,Arthur,Benjamin Johnson,M,30,B,29,Dec,1854,Spring Hill,Charles,MD,null,null,null,null,Edward Fowler,null,-77.07229,39.00367
Brown,Angeline,null,F,null,M,3,Jun,1856,Hagerstown,Washington,MD,null,null,null,Horseback,George Shaffer,null,-77.71758,39.6425
Brown,Charles,null,M,null,null,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,Horseback,George Shaffer,null,-77.71758,39.6425
Fineer,Abe,null,M,23,B,14,May,1856,Norfolk,Norfolk,VA,null,null,null,null,George Spencer,null,-76.28514,36.84686
Dorsey,George,null,M,null,M,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,null,George Shaffer,null,-77.71758,39.6425
Scott,Jane,null,F,14,B,3,Jun,1856,Hagarstown,Washington,MD,X,null,null,Horseback,George Shaffer,null,-77.71758,39.6425
Brown,Harriet,Jane Wooton,F,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,null,null,Foot,George Stewart,null,-76.60926,39.29058
Lee,Charles,Thomas Bushier,M,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,null,null,Foot,George Stewart,null,-76.60926,39.29058
Whiting,Ralph,null,M,26,B,null,Jun,1855,Norfolk,Norfolk,VA,null,null,null,null,"George W. Kemp, Esq.",null,-76.28514,36.84686
Murray,Gracie,Sophia Sims,F,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,null,null,Foot,George Stewart,null,-76.60926,39.29058
Jordan,William,William Price,M,null,null,25,Dec,1854,null,Bertie,NC,X,null,null,Foot,Governor Badger of North Caroina,null,0,0
Pipkins,Louisa,Elizabeth Brit,F,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,null,null,Foot,George Stewart,null,-76.60926,39.29058
Henry,Joseph,null,M,17,null,null,null,1860,null,Queen Annes,MD,X,null,null,null,Greenberry Parker,null,0,0
Jackson,Peter,Staunch Tilghman,M,null,null,29,Dec,1854,Bucktown,Dorchester,MD,null,null,null,null,George Wenthrop,null,-76.05248,38.45695
Waters,John,null,M,40,B,null,null,1859,Tapps' Neck,null,MD,null,null,null,null,H. Lynch,null,0,0
Wilson,Lewis,null,M,50,null,null,null,1859,Tapps' Neck,null,MD,null,null,null,null,H. Lynch,null,0,0
Dungy,John William,null,M,27,B,null,Feb,1860,Richmond,Henrico,VA,null,null,null,null,Governor Gregory,null,-77.43367,37.54068
Smith,Stafford,null,M,null,null,null,null,1860,null,Westmoreland,VA,null,null,null,null,Harriet Parker,null,0,0
Campbell,Frank,null,M,null,B,null,null,1858,null,null,null,null,null,null,null,Henry Campbell,null,0,0
White,William B.,null,M,36,B,23,Apr,1854,Richmond,Henrico,VA,null,null,null,Steamer,H.B. Dickinson,null,-77.43367,37.54068
Fidget,Isaac,null,M,30,B,17,Nov,1855,Berlin,Worcester,MD,null,null,null,null,Henry Fidget,null,-75.21836,38.3222
Allen,William,William Parnet,M,null,null,10,Feb,1853,Perryville,Caroline,MD,null,null,null,null,Henry Chamberlin,null,-76.07142,39.56008
Piner,Abe,null,M,23,null,14,May,1856,Georget'n Crossroads,Kent,MD,null,null,null,null,George Spencer,null,-88.71499,30.8856
Taylor,Benjamin,null,M,null,null,null,Mar,1856,Haggerstown,Washington,MD,null,null,null,Horse & Carriage,Henry Fiery,null,-77.71758,39.6425
Taylor,Otho,null,M,null,null,null,Mar,1856,Haggerstown,Washington,MD,null,null,null,Horse & Carriage,Henry Fiery,null,-77.71758,39.6425
White,Robert,null,M,35,null,25,Sept,1854,Norfolk,Norfolk,VA,null,null,null,null,Henry Handy,null,-76.28514,36.84686
Russell,George,null,M,null,B,null,null,1858,Baltimore,Baltimore,MD,null,null,null,null,Henry Harris,null,-76.60926,39.29058
Taylor,Owen,null,M,31,null,null,Mar,1856,Haggerstown,Washington,MD,null,null,null,Horse & Carriage,Henry Fiery,null,-77.71758,39.6425
Graff,Evan,null,M,25,B,null,null,1860,null,Frederick,MD,null,null,null,null,Henry Heart,null,0,0
Anderson,George,Henry Jones,M,19,null,16,Dec,1854,Herberts Crossroads,null,null,null,null,null,null,Harom Stump,100 in state,-76.24551,39.56122
Scott,Cornelius,null,M,23,M,null,Mar,1857,Salvington,Stafford,VA,null,null,null,Foot,Henry L. Brooke,null,-75.86744,39.404
Camper,James,null,M,24,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,X,null,Henry Hooper,null,-76.07806,38.56312
Miles,Samuel,Robert King,M,31,null,15,Aug,1855,Revel's Neck,Somerset,MD,null,X,null,null,Henry Miles,null,-76.52126,39.04341
Stewart,Susan,null,F,null,B,null,null,null,Washington,null,DC,null,null,null,null,Henry Harley,null,-77.03196,38.89037
Gross,Charles Henry,null,M,null,null,null,null,1859,Baltimore,Baltimore,MD,null,null,null,null,Henry Slaughter,null,-76.60926,39.29058
Ringgold,William,null,M,null,null,null,null,null,Baltimore,Baltimore,MD,null,null,null,Foot,Henry Wallace,null,-76.60926,39.29058
Thompson,John,null,M,19,M,null,null,1857,Huntsville,Madison,AL,null,X,null,Railroad,Hezekiah Thompson,null,-86.5851,34.72929
Fletcher,Benjamin R.,null,M,27,B,null,Sept,1856,Washington,null,DC,null,null,null,Foot,Henry Martin,null,-77.03196,38.89037
Boile,Susan,null,F,null,null,null,null,1857,Georgetown,Kent,MD,null,null,null,null,Hezekiah Masten,null,-76.76368,39.14257
Davis,Daniel,David Smith,M,20,B,12,Apr,1854,Hedgesville,Berkeley,VA,null,null,null,Foot,Hon. Charles J. Fortner,null,-77.99512,39.55387
Bacon,Abe,null,M,22,B,null,null,1857,null,Cecil,MD,null,null,null,null,Hon. L. McLane,null,0,0
Hunt,Orlando J.,null,M,29,B,null,null,1858,Richmond,Henrico,VA,null,null,null,null,High Holser,null,-77.43367,37.54068
Scott,Bill,null,M,21,null,null,null,1857,null,Cecil,MD,null,null,null,null,Hon. L. McLane,null,0,0
Pennington,Tom,null,M,25,B,null,null,1857,null,Cecil,MD,null,null,null,null,Hon. L. McLane,null,0,0
Scott,Jim,null,M,19,B,null,null,1857,null,Cecil,MD,null,null,null,null,Hon. L. McLane,null,0,0
Scott,Sam,null,M,22,null,null,null,1857,null,Cecil,MD,null,null,null,null,Hon. L. McLane,null,0,0
Brown,James,null,M,null,null,null,null,1859,North Point,Baltimore,MD,null,null,null,null,Henry Jones,null,-76.47745,39.27692
Handay,Joshua John,Hamilton Hamby,M,27,null,28,Sept,1856,Eastern Shore,null,MD,null,null,null,null,Isaac Harris,null,-80.1356,25.9337
Williams,George,null,M,null,null,31,Aug,1855,St. Louis,St. Louis,MO,null,null,null,null,Isaac Hill,null,-90.19956,38.62775
Tonnell,null,null,M,7,null,null,Dec,1853,Georgetown,Sussex,DE,X,null,null,null,Isaac Tom,null,-75.38674,38.69072
Tonnell,Rose Anna,Maria Hide,F,null,null,null,Dec,1853,Georgetown,Sussex,DE,null,null,null,null,Isaac Tom,null,-75.38674,38.69072
Johnson,Nelson,Jackson Hall,M,25,null,17,Jul,1854,Deer Creek,Harford,MD,null,null,null,null,Isaac Stansberry,null,-76.45885,39.04011
Unidentified,null,null,F,null,null,3,Mar,1854,Georgetown,Sussex,DE,null,null,null,null,Isaac Tom,null,-75.38674,38.69072
Unidentified,null,null,M,null,null,3,Mar,1854,Georgetown,Sussex,DE,null,null,null,null,Isaac Tom,null,-75.38674,38.69072
Smith,Adam,null,M,30,B,22,Aug,1857,Beltsville,Prince Georges,MD,null,null,null,null,Isacc Scaggs,null,-76.91857,39.03525
Henson,James,David Caldwell,M,32,null,null,Aug,1855,Elkton,Cecil,MD,null,null,null,null,Jacob Johnson,null,-75.83041,39.60923
Houston,George,Charles Robinson,M,null,null,7,Aug,1855,Indian River,Sussex,DE,null,null,null,null,Isaac Houston,null,-75.17052,38.57264
Williams,Wesley,null,M,null,null,3,Jan,1857,Warrick,null,MD,null,null,null,null,Jack Jones,null,-75.7767,39.41789
Hinson,James,David Coldwell,M,32,null,15,Aug,1855,null,Cecil,MD,null,null,null,null,Jacob Johnson,null,0,0
Hopkins,Sidney,null,M,null,null,null,null,1859,Havre de Grace,Harford,MD,null,null,null,null,Jacob Hoag,null,-76.09566,39.54867
Kneeland,Joeseph (sic),Joseph Hudson,M,26,B,14,Nov,1853,null,null,null,null,null,null,null,Jacob Kneeland,null,0,0
Patty,Elizabeth,null,F,null,null,16,May,1856,Norfolk,Norfolk,VA,X,null,null,null,Jacob Shuster,null,-76.28514,36.84686
Patty,Winnie,null,F,22,B,16,May,1856,Norfolk,Norfolk,VA,null,null,null,null,Jacob Shuster,null,-76.28514,36.84686
Hall,John,null,M,null,null,null,null,1859,null,null,DE,null,null,null,null,James B. Rodgers,null,0,0
Davis,Enoch,null,M,null,null,null,null,1859,Baltimore,Baltimore,MD,null,null,null,null,James Armstrong,null,-76.60926,39.29058
Molock,Francis,Thomas Jackson,M,21,B,28,Sept,1856,Cambridge,Dorchester,MD,null,null,null,null,James A. Waddell,null,-76.07806,38.56312
Johnson,Samuel W.,null,M,27,null,6,Mar,1854,Richmond,Henrico,VA,null,X,null,Steamer,James B. Fsoter,null,-77.43367,37.54068
Mayo,Harriet,null,F,22,null,1,Jun,1855,Petersburg,Dinwiddle,VA,null,null,null,Schooner,James Cuthbert,null,-77.40348,37.22815
Hall,John,null,M,31,M,27,Apr,1855,Richmond,Henrico,VA,null,X,null,Schooner,James Dunlap,null,-77.43367,37.54068
Brown,John,null,M,null,null,null,null,1859,Frederick Mills,Montgomery,MD,null,null,null,null,James Edward Stevens,null,-77.41203,39.41574
Nelson,Peter,null,M,29,M,null,null,1858,null,Stafford,VA,null,null,null,null,James Ford,null,0,0
Smith,Daniel M.,null,M,null,M,11,Sept,1858,Alexandria,Fairfax,VA,null,null,null,null,James Garnett,null,-77.04341,38.8046
Davis,Samuel,null,M,30,B,14,May,1856,Norfolk,Norfolk,VA,null,null,null,null,James Hurst,null,-76.28514,36.84686
White Lady,null,null,F,null,null,null,null,null,Leesburg,Loudon,VA,null,null,null,null,James Hodges,null,-77.56578,39.1158
Ringgold,Charles H.,null,M,null,null,31,May,1856,Baltimore,Baltimore,MD,null,null,null,Railroad,James Hodges,1300,-76.60926,39.29058
Richards,John Henry,null,M,24,null,31,May,1856,Baltimore,Baltimore,MD,null,null,null,Railroad,James Hodges,null,-76.60926,39.29058
Brown,George W.,James White,M,17,null,8,Sept,1854,null,null,MD,X,null,null,null,James Kinny,null,0,0
Stewart,Henry,null,M,23,null,19,Jun,1855,Plymouth,Washington,NC,null,null,null,null,James Monroe Woodhouse,null,-76.74956,35.86629
Mitchell,Cyrus,John Steel,M,26,B,28,Sept,1856,Cambridge,Dorchester,MD,null,null,null,Foot,James K. Lewis,null,-76.07806,38.56312
Smith,Jeremiah,null,M,26,B,29,Jan,1854,Richmond,Henrico,VA,null,null,null,Steamer,James Kinard,null,-77.43367,37.54068
Hill,John Henry,null,M,25,B,1,Jan,1853,Richmond,Henrico,VA,null,X,null,Steamer,James Mitchell,null,-77.43367,37.54068
Massey,James,null,M,25,B,null,Apr,1857,null,Queen Annes,MD,null,X,X,Foot,James Pittman,null,0,0
Green,Lear,null,F,18,B,27,null,null,Baltimore,Baltimore,MD,null,null,null,Chest,James Noble,50 in state/150 out,-76.60926,39.29058
Trusty,Perry Henry,null,M,31,B,null,null,1857,null,Caroline,null,null,X,null,Foot,James Pittman,null,0,0
Green,Anna Maria,null,F,37,null,null,null,1857,Baltimore,Baltimore,MD,null,null,null,null,James Pipper,null,-76.60926,39.29058
Green,Nathaniel,null,M,20,null,null,null,1857,Baltimore,Baltimore,MD,null,null,null,null,James Pipper,null,-76.60926,39.29058
Mitchell,Lemuel,null,M,35,B,2,Feb,1858,null,null,null,null,null,null,null,James R. Lewis,null,0,0
Atkinson,John,null,M,31,M,28,Aug,1854,Portsmouth,Norfolk,VA,null,X,null,Steamer,James Ray,null,-76.29771,36.83273
Forman,James H.,null,M,23,M,null,un,1855,Norfolk,Norfolk,VA,null,X,null,null,"James Saunders, Esq.",null,-76.28514,36.84686
Hall,Charles,null,M,null,null,null,null,1859,null,null,DE,null,null,null,null,"James Rogers, Sr.",null,0,0
Bell,Harrison,null,M,40,null,10,Apr,1854,Norfolk,Norfolk,VA,null,null,null,Boat,James Snyder,null,-76.28514,36.84686
Thomas,Alice,null,F,null,null,26,Mar,1853,null,Frederick,MD,null,null,null,null,James Short,null,0,0
Watson,James Henry,null,M,20,B,11,Apr,1856,Snowhill,Worcester,MD,null,null,null,null,James Purnell,null,-75.394,38.17843
Bennett,Daniel,Henry Washington,M,32,null,1,Jun,1855,Leesburg,Loudon,VA,null,null,null,null,James Taylor,null,-77.56578,39.1158
Taylor,Stephen,null,M,20,null,null,null,null,Sandy Hook,Harford,MD,null,null,null,Foot,James Smithen,null,-77.69815,39.32865
Hill,Joseph Henry,null,M,28,null,null,null,1859,Richmond,Henrico,VA,null,null,null,null,"James Thomas, Jr.",null,-77.43367,37.54068
Banks,Elizabeth,null,F,25,B,17,Aug,1855,Easton,Talbot,MD,null,null,null,null,James Tomlinson,null,-76.07475,38.7739
Griffen,William,null,M,34,null,24,Oct,1857,Cambridge,Dorchester,MD,null,null,X,null,"James Waters, Esq.",null,-76.07806,38.56312
Wright,Elizabeth,null,F,32,null,null,null,1857,Laurel,Sussex,MD,null,null,null,null,Jane Cooper,null,-76.86567,39.10507
Wood,Edward,null,M,null,null,null,null,1859,Drummerstown,Accomac,VA,null,null,null,null,James White,null,-72.57181,42.93674
Davis,Isaac D.,null,M,null,null,1,Feb,1855,null,null,MD,null,null,null,null,Jesse Clark,null,0,0
Atkinson,Henry,null,M,null,null,23,Apr,1854,Norfolk,Norfolk,VA,null,null,null,null,Jesse Hendrian,null,-76.28514,36.84686
Grimes,Harry,null,M,46,null,7,Nov,1857,null,null,null,null,null,null,null,Jesse Moore,null,0,0
Blockson,Jacob,null,M,27,null,null,null,1858,null,Sussex,DE,null,X,null,null,Jesse W. Paten,null,0,0
Brown,Albert,null,M,27,null,7,Sept,1855,Tanners Creek,Norfolk,VA,null,null,null,Boat,John & Henry Holland,null,-76.25022,36.91737
Brown,Anthony,null,M,29,null,7,Sept,1855,Tanners Creek,Norfolk,VA,null,null,null,Boat,John & Henry Holland,null,-76.25022,36.91737
Cary,Harrison,null,M,28,M,null,null,null,Washington,null,DC,null,null,null,null,Jane E. Ashley,null,-77.03196,38.89037
Williams,Richard,null,M,null,null,null,null,1859,Richmond,Henrico,VA,null,null,null,null,John A. Smith,null,-77.43367,37.54068
Boon,Richmond,null,M,22,null,8,Sept,1854,Norfolk,Norfolk,VA,null,null,null,null,John Bodun,null,-76.28514,36.84686
Lee,John Edward,null,M,null,null,null,null,1859,null,Harford,MD,null,null,null,null,John B. Slade,null,0,0
Johnson,William,null,M,19,B,null,null,1859,Gun Powder Neck,Baltimore,MD,null,null,null,null,John Bosley,null,-76.2967,39.40139
Green,Zebulon,Samuel Hill,M,18,B,18,Apr,1856,Duck Creek,Baltimore,MD,null,null,null,null,John Appleton,null,-96.63888,32.91262
Edwards,Alfred,null,M,22,B,null,null,1859,Tapps' Neck,null,VA,null,null,null,null,John Bryant,null,0,0
Buchanan,Jenny,null,F,45,M,null,null,1860,Rockbridge,null,VA,null,null,null,null,John Bower,null,-79.40866,37.89997
Cain,James,null,M,35,B,null,null,1857,Hoopesville,Dorchester,MD,null,null,null,null,John Burnham,null,-76.18293,38.26493
Carr,Daniel,null,M,38,M,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,John C. McBole,null,-76.28514,36.84686
Bailey,William,null,M,null,B,15,Nov,1856,Easton,Talbot,MD,null,null,null,null,John C. Henry,300 in state,-76.07475,38.7739
Conner,Charles,null,M,27,null,null,null,1857,null,Sussex,DE,null,null,null,null,John Chipman,null,0,0
Chase,John,Daniel Floyd,M,20,B,29,Dec,1854,Cambridge,Dorchester,MD,null,null,null,null,John Campbell Henry,null,-76.07806,38.56312
Hudson,Ephraim,John Spy,M,22,null,28,Sept,1856,Cambridge,Dorchester,MD,null,null,null,null,John Campbell Henry,null,-76.07806,38.56312
Washington,Mark,William Wilson,M,27,null,2,Sept,1854,Hall's Crossroads,null,MD,null,null,null,null,James Worthington,null,-76.16412,39.50956
Harper,Thomas,null,M,null,null,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,John Cowling,null,-77.04341,38.8046
Eglin,Harriet,null,F,29,null,31,May,1856,Baltimore,Baltimore,MD,null,X,null,null,John Delahay,null,-76.60926,39.29058
Derrickson,Peter,null,M,24,null,1,Jan,1855,Berlin,Worcester,MD,null,null,null,null,John Derrickson,null,-75.21836,38.3222
Purnell,Charles,null,M,26,null,1,Jan,1855,Berlin,Worcester,MD,null,null,null,null,John Derrickson,null,-75.21836,38.3222
Fisher,Robert,null,M,30,B,28,Dec,1854,null,Anne Arundel,MD,null,null,null,null,John Edward Jackson,null,0,0
Harris,Nathan,null,M,21,null,28,Dec,1854,null,Anne Arundel,MD,null,null,null,null,John Edward Jackson,null,0,0
Jones,Hill,null,M,19,B,null,null,1856,Middletown,New Castle,DE,null,null,null,null,John Cochran,null,-75.71684,39.45028
Boggs,Alexander,Johnson Henson,M,50,B,3,Apr,1854,Baltimore,Baltimore,MD,null,null,null,null,John Emie,null,-76.60926,39.29058
Ennis,Louisa Caroline,Louisa Hemmin,F,3,null,10,Mar,1854,Georgetown,Sussex,DE,X,null,null,null,John Ennis,null,-75.38674,38.69072
Ennis,Lydia Ann,Lydia Ann Hemmin,F,7,null,10,Mar,1854,Georgetown,Sussex,DE,X,null,null,null,John Ennis,null,-75.38674,38.69072
Bell,Harriet Ann,null,F,14,null,10,Apr,1854,Norfolk,Norfolk,VA,X,null,null,Boat,John G. Hodgson,null,-76.28514,36.84686
Robinson,William,Thomas Harred,M,28,null,19,Mar,1853,null,Fauguer,VA,null,null,null,null,"John G. Beal, Esq.",null,0,0
Freeman,William Thomas,Ezekiel Chambers,M,16,B,2,Dec,1855,Chestertown,Kent,MD,X,null,null,Railroad,John Dwa,null,-76.06615,39.2131
Hackett,Lloyd,Perry Watkins,M,55,M,1,Jan,1855,null,null,MD,null,null,null,Foot,John Griffin,null,0,0
Johnson,Wililam H.,John Wesley,M,24,M,1,Jan,1855,null,null,MD,null,null,null,Foot,John Hall,null,0,0
Armstead,Moses,null,M,24,B,null,null,1857,Norfolk,Norfolk,VA,null,null,null,null,John Halters,null,-76.28514,36.84686
Ennis,Mary,Licia Hemmin,F,33,null,10,Mar,1854,Georgetown,Sussex,DE,null,null,null,null,John Ennis,null,-75.38674,38.69072
Hall,Romulus,George Weems,M,null,null,null,Mar,1857,Benedict,Charles,MD,null,null,null,Foot,John Henry Southern,null,-76.67917,38.51483
Harris,Thomas,null,M,27,null,7,Sept,1857,null,null,VA,null,null,null,null,"John Hatten, Esq.",null,0,0
Harris,Abram,null,M,18,null,null,Mar,1857,Benedict,Charles,MD,null,X,null,Foot,John Henry Southern,null,-76.67917,38.51483
Pierce,William,null,M,23,B,null,null,null,null,null,MD,null,null,null,null,John Hickol,null,0,0
Jones,Arthur,null,M,41,B,null,Jun,1855,Norfolk,Norfolk,VA,null,null,null,null,John Jones,null,-76.28514,36.84686
Ennets,Stephen,null,M,null,null,null,null,1860,null,Dorchester,MD,null,null,null,null,John Kaiger,null,0,0
Ross,Major,null,M,null,null,null,null,1857,Havre de Grace,Harford,MD,null,null,null,Foot,John Jay,null,-76.09566,39.54867
Latham,Major,null,M,44,M,null,Nov,1856,null,null,MC,null,null,null,Schooner,John Latham,null,0,0
Caroll,Edward,null,M,21,null,null,null,1858,null,Sussex,MD,null,null,X,null,John Lewis,null,0,0
Banks,Jim,null,M,29,M,null,null,1858,Georgetown,null,DC,null,null,null,null,John J. Richards,null,-77.0628,38.90502
Dunmore,Henry,null,M,35,B,null,null,1860,Elkton,Cecil,MD,null,null,null,null,John Maldon,null,-75.83041,39.60923
Edmonds,David,null,M,30,null,15,Jan,1855,Petersburg,Dinwiddle,VA,null,null,null,null,John J. Slater,null,-77.40348,37.22815
Harper,Ruth,null,F,null,null,null,null,1858,Frederick,Frederick,MD,null,null,null,null,John McPherson,null,-77.41203,39.41574
Clexton,Perry,null,M,25,B,null,null,1858,Georgetown,null,DC,null,null,null,null,John M. Williams,null,-77.0628,38.90502
Amby,Nat,null,M,null,B,17,Oct,1857,Cambridge,Dorchester,MD,null,null,X,Foot,John Muir,null,-76.07806,38.56312
Rhoads,null,null,null,8 mos,null,null,null,1857,Perryville,Caroline,MD,X,null,null,Foot,John P. Dellum,null,-76.07142,39.56008
Rhoads,George,null,M,25,B,null,null,1857,Perryville,Caroline,MD,null,null,null,Foot,John P. Dellum,null,-76.07142,39.56008
Rhoads,James,null,M,23,B,null,null,1857,Perryville,Caroline,MD,null,null,null,Foot,John P. Dellum,null,-76.07142,39.56008
Smith,William Israel,null,M,21,null,4,Aug,1856,Middletown,New Castle,DE,null,null,null,null,John P. Cather,null,-75.71684,39.45028
Rhoads,Sarah Elizabeth,null,F,17,B,null,null,1857,Perryville,Caroline,MD,null,null,null,Foot,John P. Dellum,null,-76.07142,39.56008
Pitts,Catherine,null,F,null,null,15,Nov,1855,Boslier,null,MD,null,null,null,null,John Pitts,null,-105.69771,41.58075
Brooks,Adam,William Smith,M,null,B,20,Jan,1855,Hardtown,Montgomery,MD,null,null,null,null,John Phillips,null,-90.56068,42.53556
Quantence,Pascal,null,M,null,M,null,null,1857,null,Rappahannock,VA,null,null,null,null,John Quantence,100,0,0
Thompson,Robert,null,M,39,null,null,null,1858,Higherstown,null,null,null,null,null,null,John R. Laten,null,-77.71758,39.6425
Davis,Samuel,Benjamin Johnson,M,35,null,21,Nov,1854,Fairfax,Fairfax,VA,null,null,null,null,John Reed,null,-77.30905,38.84185
Williams,William,null,M,null,null,30,Apr,1856,Haven Manor,null,MD,null,null,null,null,John Peak,null,-73.70899,40.84258
Williams,null,null,F,null,null,30,Apr,1856,Haven Manor,null,MD,null,null,null,null,John Peak,null,-73.70899,40.84258
Amos,Anna Elizabeth,Anna Elizabeth Johnson,F,12,null,null,May,1854,Baltimore,Baltimore,MD,X,null,null,null,John S. Giddings,null,-76.60926,39.29058
Amos,Ann Rebecca,Aann Rebecca Johnson,F,26,null,12,May,1854,Baltimore,Baltimore,MD,null,null,null,null,John S. Giddings,null,-76.60926,39.29058
Amos,Harriet,Mary Jane Johnson,F,null,M,12,May,1854,Baltimore,Baltimore,MD,null,null,null,Foot,John S. Giddings,null,-76.60926,39.29058
Amos,Mary Ellen,Mary Ellen Johnson,F,null,null,12,May,1854,Baltimore,Baltimore,MD,X,null,null,null,John S. Giddings,null,-76.60926,39.29058
Amos,Stephen,Henry Johnson,M,null,null,12,May,1854,null,Prince Georges,MD,null,null,null,Foot,John S. Giddings,null,0,0
Bowles,Reuben,Rebuen Cunnigan,M,null,null,12,Apr,1854,Hedgesville,Berkeley,VA,null,null,null,Foot,John Sabbard,null,-77.99512,39.55387
Amos,William H.,William H. Johnson,M,null,null,12,May,1854,Baltimore,Baltimore,MD,X,null,null,null,John S. Giddings,null,-76.60926,39.29058
Stanton,Philip,null,M,22,null,null,null,null,null,null,MD,null,null,null,null,John Smith,null,0,0
Wilson,Perry,Henry Wilson,M,22,null,10,Oct,1854,Baltimore,Baltimore,MD,null,null,null,null,John Talbot,null,-76.60926,39.29058
Edwards,David,null,M,30,B,null,Jan,1855,Petersburg,Dinwiddle,MD,null,null,null,null,John Slater,null,-75.86106,38.60555
Allison,Edenezer,null,M,null,M,null,null,1858,Richmond,Henrico,VA,null,null,null,null,John Tilghman Foster,null,-77.43367,37.54068
Burton,Perry,null,M,27,B,null,null,1857,Indian River,Sussex,DE,null,null,null,Foot,John R. Burton,null,-75.17052,38.57264
Homer,Alfred,null,M,22,null,16,Jun,1856,Rockville,Montgomery,MD,null,null,null,null,John W. Anderson,50 in state/100 out,-77.15118,39.08196
Holden,Levin,null,M,null,null,null,null,1859,Laurel,Sussex,DE,null,null,null,null,Jonathan Bailey,null,-75.56292,38.55627
Petty,Peter,null,M,24,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Joseph Boukley,null,-76.28514,36.84686
Hollis,Charles Henry,null,M,20,B,null,null,null,Sandy Hook,Harford,MD,null,null,null,Foot,John Webster,null,-77.69815,39.32865
